304,16,17,4,295,13
305,17,17,3,132,17
306,18,17,5,482,7
307,1,18,4,311,16
308,2,18,4,376,6
309,3,18,3,141,14
310,4,18,4,416,2
311,5,18,5,480,8
312,6,18,3,164,18
313,7,18,4,354,10
314,8,18,4,375,4
315,9,18,5,487,12
316,10,18,4,379,1
317,11,18,4,294,15
318,12,18,3,202,9
319,13,18,4,346,5
320,14,18,5,476,11
321,15,18,4,351,3
322,16,18,4,275,13
323,17,18,3,124,17
324,18,18,5,461,7
325,1,19,4,364,11
326,2,19,3,170,7
327,3,19,4,364,3
328,4,19,3,152,17
329,5,19,4,384,1
330,6,19,5,476,15
331,7,19,4,373,5
332,8,19,3,159,9
333,9,19,4,350,13
334,10,19,3,196,4
335,11,19,4,250,18
336,12,19,3,160,12
337,13,19,4,396,2
338,14,19,4,316,8
339,15,19,4,323,14
340,16,19,4,314,16
341,17,19,3,196,6
342,18,19,4,355,10
343,1,20,4,356,11
344,2,20,3,165,7
345,3,20,4,347,3
346,4,20,3,144,17
347,5,20,4,371,1
348,6,20,5,465,15
349,7,20,4,357,5
350,8,20,3,149,9
351,9,20,4,340,13
352,10,20,3,195,4
353,11,20,4,233,18
354,12,20,3,145,12
355,13,20,4,385,2
356,14,20,4,309,8
357,15,20,4,310,14
358,16,20,4,306,16
359,17,20,3,180,6
360,18,20,4,348,10
361,1,21,5,481,9
362,2,21,3,188,11
363,3,21,4,416,3
364,4,21,4,347,15
365,5,21,4,375,5
366,6,21,4,380,7
367,7,21,4,260,17
368,8,21,4,444,1
369,9,21,3,189,13
370,10,21,4,450,4
371,11,21,5,601,2
372,12,21,3,153,18
373,13,21,5,473,12
374,14,21,5,497,8
375,15,21,3,171,16
376,16,21,4,421,6
377,17,21,3,176,14
378,18,21,4,330,10
379,1,22,5,465,9
380,2,22,3,176,11
381,3,22,4,407,3
382,4,22,4,334,15
383,5,22,4,368,5
384,6,22,4,335,7
385,7,22,4,251,17
386,8,22,4,434,1
387,9,22,3,170,13
388,10,22,4,422,4
389,11,22,5,580,2
390,12,22,3,145,18
391,13,22,5,463,12
392,14,22,5,456,8
393,15,22,3,137,16
394,16,22,4,393,6
395,17,22,3,147,14
396,18,22,4,325,10
397,1,23,4,372,7
398,2,23,4,419,3
399,3,23,4,401,9
400,4,23,4,289,17
401,5,23,5,510,15
402,6,23,3,149,13
403,7,23,4,397,5
404,8,23,4,452,1
405,9,23,3,162,11
406,10,23,4,362,10
407,11,23,5,505,16
408,12,23,4,416,6
409,13,23,3,198,12
410,14,23,4,424,2
411,15,23,4,344,14
412,16,23,3,177,18
413,17,23,5,574,4
414,18,23,4,456,8
415,1,24,4,372,7
416,2,24,4,414,3
417,3,24,4,382,9
418,4,24,4,289,17
419,5,24,5,490,15
420,6,24,3,149,13
421,7,24,4,397,5
422,8,24,4,452,1
423,9,24,3,162,11
424,10,24,4,351,10
425,11,24,5,490,16
426,12,24,4,416,6
427,13,24,3,198,12
428,14,24,4,424,2
429,15,24,4,334,14
430,16,24,3,168,18
431,17,24,5,562,4
432,18,24,4,420,8
433,1,25,4,365,7
435,3,25,4,358,9
434,2,25,4,386,3
436,4,25,4,281,17
437,5,25,5,453,15
438,6,25,3,130,13
439,7,25,4,384,5
440,8,25,4,441,1
441,9,25,3,152,11
442,10,25,4,335,10
443,11,25,5,473,16
444,12,25,4,412,6
445,13,25,3,165,12
